# Bliss.txt
#
# from Bliss, C.I.  1935.  The calculation of the doesage-mortality curve.  Annals of Applied Biology 22:134-167.
#
# outcome: survival (or not) of beetle exposed to gaseous CS2
# conc: dose of gaseous carbon disulphide (mg/liter)
#
# author used log10 of concentration
#
outcome	conc
dead	49.1
dead	49.1
dead	49.1
dead	49.1
dead	49.1
dead	49.1
alive	49.1
alive	49.1
alive	49.1
alive	49.1
alive	49.1
alive	49.1
alive	49.1
alive	49.1
alive	49.1
alive	49.1
alive	49.1
alive	49.1
alive	49.1
alive	49.1
alive	49.1
alive	49.1
alive	49.1
alive	49.1
alive	49.1
alive	49.1
alive	49.1
alive	49.1
alive	49.1
alive	49.1
alive	49.1
alive	49.1
alive	49.1
alive	49.1
alive	49.1
alive	49.1
alive	49.1
alive	49.1
alive	49.1
alive	49.1
alive	49.1
alive	49.1
alive	49.1
alive	49.1
alive	49.1
alive	49.1
alive	49.1
alive	49.1
alive	49.1
alive	49.1
alive	49.1
alive	49.1
alive	49.1
alive	49.1
alive	49.1
alive	49.1
alive	49.1
alive	49.1
alive	49.1
dead	53
dead	53
dead	53
dead	53
dead	53
dead	53
dead	53
dead	53
dead	53
dead	53
dead	53
dead	53
dead	53
alive	53
alive	53
alive	53
alive	53
alive	53
alive	53
alive	53
alive	53
alive	53
alive	53
alive	53
alive	53
alive	53
alive	53
alive	53
alive	53
alive	53
alive	53
alive	53
alive	53
alive	53
alive	53
alive	53
alive	53
alive	53
alive	53
alive	53
alive	53
alive	53
alive	53
alive	53
alive	53
alive	53
alive	53
alive	53
alive	53
alive	53
alive	53
alive	53
alive	53
alive	53
alive	53
alive	53
alive	53
alive	53
alive	53
alive	53
dead	56.9
dead	56.9
dead	56.9
dead	56.9
dead	56.9
dead	56.9
dead	56.9
dead	56.9
dead	56.9
dead	56.9
dead	56.9
dead	56.9
dead	56.9
dead	56.9
dead	56.9
dead	56.9
dead	56.9
dead	56.9
alive	56.9
alive	56.9
alive	56.9
alive	56.9
alive	56.9
alive	56.9
alive	56.9
alive	56.9
alive	56.9
alive	56.9
alive	56.9
alive	56.9
alive	56.9
alive	56.9
alive	56.9
alive	56.9
alive	56.9
alive	56.9
alive	56.9
alive	56.9
alive	56.9
alive	56.9
alive	56.9
alive	56.9
alive	56.9
alive	56.9
alive	56.9
alive	56.9
alive	56.9
alive	56.9
alive	56.9
alive	56.9
alive	56.9
alive	56.9
alive	56.9
alive	56.9
alive	56.9
alive	56.9
alive	56.9
alive	56.9
alive	56.9
alive	56.9
alive	56.9
alive	56.9
dead	60.8
dead	60.8
dead	60.8
dead	60.8
dead	60.8
dead	60.8
dead	60.8
dead	60.8
dead	60.8
dead	60.8
dead	60.8
dead	60.8
dead	60.8
dead	60.8
dead	60.8
dead	60.8
dead	60.8
dead	60.8
dead	60.8
dead	60.8
dead	60.8
dead	60.8
dead	60.8
dead	60.8
dead	60.8
dead	60.8
dead	60.8
dead	60.8
alive	60.8
alive	60.8
alive	60.8
alive	60.8
alive	60.8
alive	60.8
alive	60.8
alive	60.8
alive	60.8
alive	60.8
alive	60.8
alive	60.8
alive	60.8
alive	60.8
alive	60.8
alive	60.8
alive	60.8
alive	60.8
alive	60.8
alive	60.8
alive	60.8
alive	60.8
alive	60.8
alive	60.8
alive	60.8
alive	60.8
alive	60.8
alive	60.8
dead	64.8
dead	64.8
dead	64.8
dead	64.8
dead	64.8
dead	64.8
dead	64.8
dead	64.8
dead	64.8
dead	64.8
dead	64.8
dead	64.8
dead	64.8
dead	64.8
dead	64.8
dead	64.8
dead	64.8
dead	64.8
dead	64.8
dead	64.8
dead	64.8
dead	64.8
