height,treat
180.7,Fertilized
162.4,Fertilized
184.8,Fertilized
178.7,Fertilized
162.9,Fertilized
169.8,Fertilized
169.2,Fertilized
174.2,Fertilized
174,Fertilized
164.2,Fertilized
172.2,Fertilized
163.7,Fertilized
175.2,Fertilized
147.5,Fertilized
172.5,Fertilized
173.4,Fertilized
189.6,Fertilized
178,Fertilized
171.1,Fertilized
170.8,Fertilized
145.9,Fertilized
175.1,Fertilized
155.6,Fertilized
173.7,Fertilized
173.6,Fertilized
171.1,Fertilized
166.1,Fertilized
162.2,Fertilized
192.8,Fertilized
171.6,Fertilized
176.6,Fertilized
184.2,Fertilized
164.8,Fertilized
165.9,Fertilized
166.9,Fertilized
161.3,Shaded
159.2,Shaded
158,Shaded
171.9,Shaded
167.1,Shaded
173.9,Shaded
159.3,Shaded
167.3,Shaded
169.2,Shaded
150.7,Shaded
165.5,Shaded
170.6,Shaded
160.7,Shaded
171.1,Shaded
172.5,Shaded
160.8,Shaded
172,Shaded
162.4,Shaded
156.5,Shaded
165.9,Shaded
155.3,Shaded
175.3,Shaded
156.6,Shaded
162.4,Shaded
169.3,Shaded
165.5,Shaded
159.3,Shaded
162.8,Shaded
168.3,Shaded
154.9,Shaded
160.5,Shaded
158.6,Shaded
173.8,Shaded
156.7,Shaded
163.1,Shaded
124.6,Clipped
139,Clipped
141.6,Clipped
131,Clipped
139.8,Clipped
122.2,Clipped
130.9,Clipped
135.9,Clipped
139.7,Clipped
126.4,Clipped
119.6,Clipped
140.1,Clipped
125.7,Clipped
150,Clipped
135.1,Clipped
135,Clipped
138.1,Clipped
117.1,Clipped
131.6,Clipped
126.5,Clipped
128.3,Clipped
135.2,Clipped
133.7,Clipped
142.3,Clipped
123.7,Clipped
127.5,Clipped
137.7,Clipped
128,Clipped
126.2,Clipped
143.9,Clipped
126,Clipped
121.6,Clipped
140.9,Clipped
127.8,Clipped
124.9,Clipped
166.6,Control
157.8,Control
152.8,Control
167,Control
169.5,Control
152.4,Control
164.2,Control
148.7,Control
172.8,Control
158.5,Control
146.5,Control
157.3,Control
173.5,Control
169.4,Control
176.3,Control
163.5,Control
147.6,Control
179.2,Control
164.2,Control
182.9,Control
164.7,Control
166.7,Control
185.1,Control
154.3,Control
169.7,Control
166.6,Control
158.2,Control
164,Control
144.9,Control
157,Control
185.6,Control
185.2,Control
174.6,Control
160.6,Control
179.4,Control
