type,distance,phosp
soluble,2.6,10.52
total,2.6,29.49
dissolved,2.7,20.52
total,3.7,46.61
soluble,3.9,33.06
dissolved,3.9,78.03
total,3.9,79.53
soluble,4.1,73.69
dissolved,4.2,41.57
soluble,4.4,53.27
total,4.5,58.61
soluble,4.6,10.93
total,4.6,27.32
dissolved,4.7,20.52
soluble,4.9,23.45
dissolved,4.9,37.07
total,5,50.31
soluble,7.1,12.49
dissolved,7.1,7.9
total,7.2,15.12
dissolved,7.9,11.58
soluble,8,3.61
total,8.1,17.61
soluble,8.6,3.48
total,8.6,37.07
dissolved,8.8,20.91
total,11,31.82
soluble,11.1,2.71
dissolved,11.1,18.65
soluble,11.3,21.73
total,11.3,40.78
dissolved,11.5,34.35
soluble,12.2,13.74
dissolved,12.2,25.31
total,12.2,27.32
total,14,15.41
soluble,14.1,4.05
dissolved,14.1,13.48
soluble,14.6,3.83
dissolved,14.7,16.32
total,14.8,21.73
soluble,16,1.39
dissolved,16,7.75
dissolved,16,11.36
soluble,16.1,1.19
total,16.2,12.73
total,16.2,19.01
soluble,16.3,0.6
dissolved,16.4,6.78
total,16.5,16.95
total,16.6,10.93
soluble,16.7,1.93
dissolved,16.7,10.32
soluble,17.5,0.99
dissolved,17.5,7.32
total,17.5,13.23
dissolved,18.2,2.38
soluble,18.3,0.19
soluble,18.5,0.19
dissolved,18.6,3.35
total,18.6,3.9
total,18.6,7.75
soluble,19.4,2.42
total,19.4,29.49
dissolved,19.5,4.05
soluble,19.9,1.65
dissolved,20,1.89
total,20,33.7
soluble,20.1,4.9
dissolved,20.1,12.98
dissolved,20.2,13.48
total,20.2,18.65
soluble,24.2,2.04
dissolved,24.2,11.14
total,24.2,16.63
