Serial ,Month,Year,Location,Length,Weight,Sex,Maturity
33,6,1996,Flag,46,1.4,female,mature
36,6,1996,Flag,114,16,female,nearly spent
37,6,1996,Flag,87,9.4,female,running
38,6,1996,Flag,89,9.5,female,nearly spent
40,6,1996,Flag,72,5.4,female,developing
41,6,1996,Flag,75,5.4,female,nearly spent
88,6,1996,Flag,160,52.4,female,running
92,6,1996,Flag,76,5.3,female,ripe
94,6,1996,Flag,99,11.3,female,nearly spent
95,6,1996,Flag,87,7.6,female,nearly spent
96,6,1996,Flag,72,6,female,nearly spent
120,6,1996,Flag,101,13,female,running
122,6,1996,Flag,110,15.9,female,ripe
123,6,1996,Flag,57,2,female,immature
56,7,1995,Flag,130,24.3,female,nearly spent
58,7,1995,Flag,98,10.7,female,nearly spent
59,7,1995,Flag,84,7.6,female,spent
62,7,1995,Flag,62,2.7,female,immature
63,7,1995,Flag,93,9.3,female,nearly spent
66,7,1995,Flag,93,9.8,female,spent
67,7,1995,Flag,81,5.9,female,spent
68,7,1995,Flag,82,7.1,female,spent
69,7,1995,Flag,66,3.6,female,mature
70,7,1995,Flag,67,3.2,female,mature
71,7,1995,Flag,68,4.1,female,mature
72,7,1995,Flag,71,4.3,female,mature
76,7,1995,Flag,87,7.7,female,spent
79,7,1995,Flag,82,4.3,female,spent
80,7,1995,Flag,67,3.9,female,mature
81,7,1995,Flag,60,2.8,female,immature
82,7,1995,Flag,62,2.7,female,mature
139,7,1995,Flag,169,61.3,female,spent
140,7,1995,Flag,169,64,female,spent
142,7,1995,Flag,102,13.3,female,spent
143,7,1995,Flag,95,9.5,female,spent
144,7,1995,Flag,115,20.8,female,spent
150,7,1995,Flag,69,4.1,female,spent
313,7,1995,Flag,106,12.1,female,spent
314,7,1995,Flag,64,2.6,female,spent
331,7,1995,Flag,112,10.3,female,nearly spent
332,7,1995,Flag,65,2.8,female,immature
333,7,1995,Flag,73,4.4,female,spent
351,7,1995,Flag,78,5.6,female,spent
357,7,1995,Flag,77,5.9,female,spent
362,7,1995,Flag,87,7.4,female,spent
364,7,1995,Flag,80,6.3,female,spent
366,7,1995,Flag,89,9.4,female,spent
367,7,1995,Flag,78,6.2,female,spent
370,7,1995,Flag,78,5.3,female,spent
373,7,1995,Flag,56,2,female,immature
374,7,1995,Flag,74,4.7,female,immature
375,7,1995,Flag,67,3.5,female,immature
377,7,1995,Flag,79,5.8,female,spent
379,7,1995,Flag,58,2.3,female,immature
382,7,1995,Flag,71,4,female,spent
384,7,1995,Flag,74,5,female,spent
385,7,1995,Flag,78,5.7,female,spent
386,7,1995,Flag,67,3.3,female,spent
387,7,1995,Flag,62,3,female,spent
389,7,1995,Flag,64,3.4,female,spent
391,7,1995,Flag,68,4.3,female,spent
393,7,1995,Flag,61,2.7,female,spent
394,7,1995,Flag,67,3.7,female,spent
395,7,1995,Flag,70,4.3,female,spent
396,7,1995,Flag,69,3.8,female,spent
397,7,1995,Flag,63,3,female,spent
398,7,1995,Flag,67,3.7,female,spent
400,7,1995,Flag,74,4,female,spent
401,7,1995,Flag,66,3.3,female,spent
403,7,1995,Flag,73,4.5,female,spent
404,7,1995,Flag,54,1.9,female,immature
409,7,1995,Flag,68,3.7,female,mature
410,7,1995,Flag,64,2.6,female,immature
468,7,1995,Flag,117,19.7,female,spent
473,7,1995,Flag,75,4.8,female,mature
474,7,1995,Flag,70,3.9,female,mature
475,7,1995,Flag,72,4.1,female,immature
480,7,1995,Flag,70,3.9,female,mature
482,7,1995,Flag,112,18.7,female,spent
483,7,1995,Flag,137,32.8,female,spent
484,7,1995,Flag,113,20.5,female,spent
485,7,1995,Flag,116,17.5,female,spent
489,7,1995,Flag,87,7.4,female,mature
490,7,1995,Flag,89,8.4,female,spent
492,7,1995,Flag,82,6.9,female,mature
493,7,1995,Flag,60,2.6,female,immature
494,7,1995,Flag,47,1.5,female,immature
526,7,1995,Flag,83,7.6,female,spent
527,7,1995,Flag,75,5.2,female,spent
528,7,1995,Flag,71,4.5,female,spent
529,7,1995,Flag,66,3.7,female,spent
530,7,1995,Flag,64,3.7,female,spent
533,7,1995,Flag,61,2.8,female,immature
535,7,1995,Flag,51,1.7,female,immature
536,7,1995,Flag,50,1.4,female,immature
540,7,1995,Flag,82,6.5,female,spent
190,7,1996,Flag,81,7.5,female,spent
233,7,1996,Flag,119,23.2,female,spent
234,7,1996,Flag,110,17.3,female,spent
247,7,1996,Flag,79,5.7,female,spent
248,7,1996,Flag,76,5.6,female,spent
249,7,1996,Flag,79,6.5,female,spent
250,7,1996,Flag,81,6.6,female,spent
252,7,1996,Flag,68,3.6,female,spent
266,7,1996,Flag,56,2.2,female,immature
269,7,1996,Flag,92,13.1,female,spent
270,7,1996,Flag,92,11.6,female,spent
271,7,1996,Flag,120,24.2,female,spent
272,7,1996,Flag,102,14,female,spent
273,7,1996,Flag,178,76.9,female,spent
274,7,1996,Flag,116,20.2,female,spent
275,7,1996,Flag,105,18.6,female,spent
276,7,1996,Flag,110,14.9,female,spent
278,7,1996,Flag,81,6.2,female,spent
279,7,1996,Flag,111,19.9,female,spent
281,7,1996,Flag,88,8.8,female,spent
282,7,1996,Flag,92,10.1,female,spent
283,7,1996,Flag,151,44.9,female,spent
284,7,1996,Flag,108,16.3,female,spent
318,7,1996,Flag,167,57.2,female,spent
301,8,1995,Flag,47,1.2,female,immature
302,8,1995,Flag,79,5.6,female,spent
305,8,1995,Flag,67,3.8,female,spent
315,8,1995,Flag,137,33.5,female,spent
317,8,1995,Flag,112,19.4,female,spent
318,8,1995,Flag,137,30.1,female,spent
319,8,1995,Flag,109,17.5,female,spent
320,8,1995,Flag,103,15,female,spent
321,8,1995,Flag,96,11.7,female,spent
411,8,1995,Flag,123,24.7,female,spent
412,8,1995,Flag,129,31.6,female,spent
413,8,1995,Flag,131,33,female,spent
416,8,1995,Flag,50,1.7,female,immature
466,8,1995,Flag,116,20.9,female,spent
467,8,1995,Flag,47,1.3,female,immature
210,8,1997,Flag,56,1.8,female,immature
212,8,1997,Flag,80,6.2,female,spent
213,8,1997,Flag,75,5.6,female,immature
215,8,1997,Flag,91,9.8,female,spent
218,8,1997,Flag,92,8.4,female,spent
219,8,1997,Flag,63,2.5,female,immature
223,8,1997,Flag,72,5,female,spent
