uvb,density,mass
High,1,0.91
High,1,0.65
High,1,1.58
High,1,0.98
High,1,1.07
High,1,0.84
High,1,0.88
High,1,1.47
High,1,0.94
High,1,0.72
High,1,1.83
High,1,1.01
High,1,0.57
High,1,0.54
High,1,1.36
Low,1,1.89
Low,1,1.59
Low,1,1.51
Low,1,1.25
Low,1,0.66
Low,1,1.12
Low,1,1.91
Low,1,1.31
Low,1,0.70
Low,1,0.71
Low,1,1.48
Low,1,1.76
Low,1,1.68
Low,1,1.14
Low,1,0.66
High,2,0.44
High,2,0.92
High,2,0.34
High,2,1.20
High,2,0.40
High,2,1.08
High,2,1.35
High,2,0.47
High,2,0.35
High,2,0.84
High,2,0.55
High,2,1.25
High,2,0.47
High,2,0.94
High,2,1.16
Low,2,0.92
Low,2,0.52
Low,2,0.63
Low,2,0.97
Low,2,1.15
Low,2,1.52
Low,2,0.56
Low,2,0.80
Low,2,0.83
Low,2,1.17
Low,2,0.84
Low,2,0.82
Low,2,0.99
Low,2,0.85
Low,2,0.53
High,4,0.88
High,4,0.45
High,4,0.44
High,4,0.97
High,4,0.92
High,4,0.57
High,4,0.84
High,4,0.59
High,4,1.12
High,4,1.15
High,4,0.41
High,4,0.89
High,4,1.19
High,4,0.42
High,4,1.11
Low,4,1.33
Low,4,0.59
Low,4,0.76
Low,4,0.61
Low,4,1.07
Low,4,0.73
Low,4,1.18
Low,4,0.67
Low,4,0.92
Low,4,0.87
Low,4,0.32
Low,4,0.64
Low,4,0.70
Low,4,0.63
Low,4,0.77
