ID,Island,Plot Name,Transect,PlotType,MeterPoint,DuffDepth
163,York,Control East,240 degrees,Control,8,4.5
164,York,Control East,240 degrees,Control,9,5
165,York,Control East,240 degrees,Control,10,3.5
166,York,Cedar Fire,N,Fire,0,0.25
167,York,Cedar Fire,N,Fire,1,0.25
168,York,Cedar Fire,N,Fire,2,0.6
169,York,Cedar Fire,N,Fire,3,0.3
170,York,Cedar Fire,N,Fire,4,0.9
171,York,Cedar Fire,N,Fire,5,3.4
172,York,Cedar Fire,N,Fire,6,3
173,York,Cedar Fire,N,Fire,7,3.5
177,York,Cedar Fire,240 degrees,Fire,0,0.25
178,York,Cedar Fire,240 degrees,Fire,1,0.4
179,York,Cedar Fire,240 degrees,Fire,2,0.5
180,York,Cedar Fire,240 degrees,Fire,3,0.7
181,York,Cedar Fire,240 degrees,Fire,4,0.6
182,York,Cedar Fire,240 degrees,Fire,5,0.8
183,York,Cedar Fire,240 degrees,Fire,6,0.8
184,York,Cedar Fire,240 degrees,Fire,7,0.25
185,York,Cedar Fire,240 degrees,Fire,8,0.4
186,York,Cedar Fire,240 degrees,Fire,9,1
187,York,Cedar Fire,240 degrees,Fire,10,0.8
188,York,Cedar Fire,120 degrees,Fire,0,0.25
189,York,Cedar Fire,120 degrees,Fire,1,0.25
190,York,Cedar Fire,120 degrees,Fire,2,0.3
191,York,Cedar Fire,120 degrees,Fire,3,0.25
192,York,Cedar Fire,120 degrees,Fire,4,0.9
193,York,Cedar Fire,120 degrees,Fire,5,0.25
194,York,Cedar Fire,120 degrees,Fire,6,1.3
195,York,Cedar Fire,120 degrees,Fire,7,1.4
196,York,Cedar Fire,120 degrees,Fire,8,2
197,York,Cedar Fire,120 degrees,Fire,9,1.6
198,York,Cedar Fire,120 degrees,Fire,10,1.6
199,Raspberry,Blackfly Fire,240 degrees,Fire,0,1
200,Raspberry,Blackfly Fire,240 degrees,Fire,1,0.25
201,Raspberry,Blackfly Fire,240 degrees,Fire,2,2
202,Raspberry,Blackfly Fire,240 degrees,Fire,3,2
203,Raspberry,Blackfly Fire,240 degrees,Fire,4,3.4
204,Raspberry,Blackfly Fire,240 degrees,Fire,5,2.9
205,Raspberry,Blackfly Fire,240 degrees,Fire,6,4.2
206,Raspberry,Blackfly Fire,240 degrees,Fire,7,1
207,Raspberry,Blackfly Fire,240 degrees,Fire,8,2
